Movie Title,Weather,Time,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
Movie 1,781,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 2,731,12.32,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
Movie 3,762,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 4,321,13.16,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Movie 5,762,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 6,201,9.15,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0
Movie 7,211,1.65,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Movie 8,800,22.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Movie 9,620,4.54,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Movie 10,200,22.18,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
Movie 11,616,7.44,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 12,500,9.96,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Movie 13,511,14.17,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1
Movie 14,600,10.25,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 15,230,4.47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Movie 16,731,20.53,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1
Movie 17,522,9.93,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0
Movie 18,501,15.45,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
Movie 19,311,16.27,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 20,731,8.14,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1
Movie 21,615,15.47,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 22,612,9.96,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 23,731,17.64,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
Movie 24,761,4.03,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
Movie 25,312,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 26,501,16.32,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
Movie 27,310,11.02,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 28,801,20.55,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 29,313,3.97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Movie 30,762,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 31,310,19.66,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 32,300,19.27,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 33,521,13.82,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1
Movie 34,613,5.51,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Movie 35,622,10.87,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 36,232,20.46,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0
Movie 37,211,10.37,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
Movie 38,503,9.17,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0
Movie 39,721,15.08,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
Movie 40,302,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 41,601,22.31,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Movie 42,301,17.29,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 43,211,4.24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Movie 44,321,2.73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Movie 45,762,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 46,302,12.96,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 47,501,14.05,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
Movie 48,600,23.65,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Movie 49,230,15.08,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1
Movie 50,503,2.97,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
Movie 51,600,3.35,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Movie 52,615,14.3,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 53,620,4.04,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Movie 54,781,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 55,616,2.56,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Movie 56,802,17.81,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
Movie 57,211,11.3,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
Movie 58,741,17.51,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
Movie 59,210,13.61,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1
Movie 60,701,13.38,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
Movie 61,321,4.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Movie 62,302,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 63,622,1.04,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Movie 64,701,10.88,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1
Movie 65,600,3.15,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Movie 66,230,8.39,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0
Movie 67,211,8.31,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
Movie 68,804,12.75,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
Movie 69,803,12.16,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
Movie 70,761,5.48,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
Movie 71,612,12.98,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 72,501,0.65,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Movie 73,616,12.75,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 74,771,23.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 75,230,16.22,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1
Movie 76,504,12.41,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1
Movie 77,302,7.32,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 78,312,10.83,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 79,804,7.28,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Movie 80,211,12.98,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
Movie 81,600,12.1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 82,212,15.74,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1
Movie 83,202,21.03,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0
Movie 84,522,2.55,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
Movie 85,800,10.55,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 86,741,17.86,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
Movie 87,202,22.89,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
Movie 88,231,14.13,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1
Movie 89,800,19.3,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0
Movie 90,616,1.91,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Movie 91,800,10.95,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 92,711,0.89,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
Movie 93,701,10.41,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1
Movie 94,762,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 95,201,0.78,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
Movie 96,201,14.78,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1
Movie 97,404,20.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 98,721,6.25,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1
Movie 99,800,23.43,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Movie 100,310,14.85,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 101,313,5.41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Movie 102,622,5.78,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Movie 103,601,12.23,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 104,521,1.35,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
Movie 105,602,11.86,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 106,802,4.34,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Movie 107,701,3.33,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
Movie 108,502,11.09,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0
Movie 109,311,21.81,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 110,616,7.98,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 111,612,13.25,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 112,211,14.56,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
Movie 113,212,3.97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Movie 114,232,17.27,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1
Movie 115,511,12.48,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1
Movie 116,761,11.76,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1
Movie 117,200,5.79,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
Movie 118,701,15.64,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
Movie 119,300,11.32,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
