Movie Title,Weather,Time,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
Movie 1,314,2.63,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 2,801,7.89,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Movie 3,211,7.37,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
Movie 4,313,11.02,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Movie 5,701,3.73,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1
Movie 6,301,10.62,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 7,300,16.88,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 8,404,19.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 9,200,2.16,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0
Movie 10,761,20.58,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1
Movie 11,211,22.06,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 12,601,0.54,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
Movie 13,781,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 14,212,23.76,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 15,802,22.94,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 16,211,21.99,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 17,502,1.51,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0
Movie 18,212,7.02,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0
Movie 19,202,11.81,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0
Movie 20,761,6.76,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1
Movie 21,301,23.64,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 22,201,19.42,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 23,300,16.9,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 24,611,19.46,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0
Movie 25,314,12.1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Movie 26,501,16.51,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
Movie 27,601,13.56,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 28,301,5.8,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 29,300,19.48,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 30,300,19.76,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 31,300,18.6,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 32,711,23.08,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1
Movie 33,731,23.82,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1
Movie 34,622,14.8,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 35,600,5.23,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
Movie 36,503,18.73,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 37,600,14.01,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 38,761,10.93,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1
Movie 39,313,2.71,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 40,601,18.92,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0
Movie 41,711,8.14,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1
Movie 42,311,3.5,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 43,232,7.0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0
Movie 44,711,5.98,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1
Movie 45,312,22.39,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 46,301,18.99,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 47,721,16.8,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
Movie 48,232,1.96,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0
Movie 49,504,23.82,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0
Movie 50,502,17.16,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1
Movie 51,232,7.43,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0
Movie 52,314,1.09,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 53,313,2.75,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 54,200,10.85,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0
Movie 55,300,2.66,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 56,751,23.27,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1
Movie 57,531,23.07,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0
Movie 58,602,23.42,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
Movie 59,503,1.05,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0
Movie 60,602,23.74,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
Movie 61,762,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 62,503,18.8,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 63,522,18.41,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 64,761,8.86,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1
Movie 65,803,17.5,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
Movie 66,210,4.69,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0
Movie 67,211,18.15,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 68,802,22.67,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 69,721,3.56,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1
Movie 70,200,0.27,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0
Movie 71,622,10.64,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 72,310,15.25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 73,502,18.38,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 74,310,2.48,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 75,521,5.03,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0
Movie 76,601,14.08,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 77,621,1.0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
Movie 78,300,13.97,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 79,751,5.62,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1
Movie 80,622,16.88,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 81,804,1.71,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 82,613,23.55,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
Movie 83,230,22.81,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 84,511,5.99,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0
Movie 85,771,15.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 86,802,23.72,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 87,521,11.55,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0
Movie 88,313,1.57,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 89,601,2.41,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
Movie 90,300,21.18,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 91,230,19.3,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0
Movie 92,802,17.33,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
Movie 93,620,13.2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 94,311,0.13,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 95,616,3.25,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
Movie 96,231,2.78,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0
Movie 97,741,23.73,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0
Movie 98,600,20.66,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0
Movie 99,314,9.85,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Movie 100,620,20.51,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0
Movie 101,701,13.49,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
Movie 102,232,6.76,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0
Movie 103,504,6.71,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0
Movie 104,804,9.82,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Movie 105,301,10.16,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 106,615,11.38,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 107,613,9.69,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 108,612,19.19,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0
Movie 109,612,4.81,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
Movie 110,201,6.49,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0
Movie 111,201,7.74,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0
Movie 112,302,21.58,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 113,613,6.41,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 114,721,14.78,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
Movie 115,302,21.15,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 116,781,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie 117,211,13.36,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
Movie 118,804,3.99,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
Movie 119,802,19.0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
Movie 120,600,17.19,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Movie 121,611,10.73,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Movie 122,231,3.17,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0
